Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.968750,43.968750,43.750000,43.937500,25.334024,1003200
1993-02-01,43.968750,44.250000,43.968750,44.250000,25.514206,480500
1993-02-02,44.218750,44.375000,44.125000,44.343750,25.568272,201300
1993-02-03,44.406250,44.843750,44.375000,44.812500,25.838543,529400
1993-02-04,44.968750,45.093750,44.468750,45.000000,25.946659,531500
1993-02-05,44.968750,45.062500,44.718750,44.968750,25.928638,492100
1993-02-08,44.968750,45.125000,44.906250,44.968750,25.928638,596100
1993-02-09,44.812500,44.812500,44.562500,44.656250,25.748457,122100
1993-02-10,44.656250,44.750000,44.531250,44.718750,25.784491,379600
1993-02-11,44.781250,45.125000,44.781250,44.937500,25.910618,19500
1993-02-12,44.875000,44.875000,44.593750,44.593750,25.712427,42500
1993-02-16,44.468750,44.468750,43.406250,43.468750,25.063753,374800
1993-02-17,43.468750,43.531250,43.281250,43.437500,25.045734,210900
1993-02-18,43.937500,43.937500,42.812500,43.406250,25.027719,378100
1993-02-19,43.406250,43.562500,43.343750,43.562500,25.117800,34900
1993-02-22,43.687500,43.781250,43.562500,43.718750,25.207895,513600
1993-02-23,43.843750,43.875000,43.468750,43.687500,25.189871,373700
1993-02-24,43.718750,44.250000,43.718750,44.250000,25.514206,26300
1993-02-25,44.218750,44.375000,44.125000,44.343750,25.568272,44500
1993-02-26,44.437500,44.437500,44.187500,44.406250,25.604303,66200
1993-03-01,44.562500,44.562500,44.218750,44.281250,25.532217,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,25.910618,182400
1993-03-03,45.000000,45.156250,44.937500,45.125000,26.018726,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,25.874571,89500
1993-03-05,44.937500,45.125000,44.718750,44.750000,25.802519,40000
1993-03-08,44.843750,45.750000,44.843750,45.750000,26.379103,50800
1993-03-09,45.656250,45.687500,45.500000,45.593750,26.288998,169300
1993-03-10,45.593750,45.687500,45.406250,45.687500,26.343065,194400
1993-03-11,45.718750,45.843750,45.500000,45.562500,26.270990,70900
1993-03-12,45.187500,45.218750,44.812500,45.093750,26.000706,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,26.126841,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,26.126841,30800
1993-03-17,45.250000,45.250000,44.968750,45.031250,25.964670,21800
1993-03-18,45.218750,45.500000,45.218750,45.312500,26.126841,59300
1993-03-19,45.281250,45.281250,45.031250,45.031250,26.087297,66900
1993-03-22,44.593750,44.875000,44.562500,44.781250,25.942484,183400
1993-03-23,44.906250,44.937500,44.812500,44.875000,25.996771,55200
1993-03-24,44.812500,45.062500,44.593750,44.875000,25.996771,37200
1993-03-25,44.906250,45.250000,44.843750,45.156250,26.159706,110100
1993-03-26,45.125000,45.156250,44.875000,44.906250,26.014889,101500
1993-03-29,44.937500,45.312500,44.937500,45.093750,26.123503,87100
1993-03-30,45.156250,45.218750,45.093750,45.218750,26.195932,56000
1993-03-31,45.343750,45.468750,45.187500,45.187500,26.177837,111600
1993-04-01,45.250000,45.250000,44.937500,45.031250,26.087297,129500
1993-04-02,44.656250,44.656250,44.093750,44.093750,25.544184,59400
1993-04-05,44.437500,44.437500,44.187500,44.312500,25.670925,172200
1993-04-06,44.406250,44.406250,44.062500,44.187500,25.598501,129700
1993-04-07,44.250000,44.343750,44.156250,44.343750,25.689026,28000
1993-04-08,44.531250,44.531250,44.093750,44.281250,25.652805,180800
1993-04-12,44.718750,44.937500,44.656250,44.906250,26.014889,348500
1993-04-13,44.875000,45.156250,44.843750,45.000000,26.069201,146100
1993-04-14,45.031250,45.062500,44.906250,44.937500,26.032990,119600
1993-04-15,44.906250,45.031250,44.750000,44.937500,26.032990,148600
1993-04-16,44.968750,45.031250,44.875000,44.937500,26.032990,47900
1993-04-19,44.937500,45.062500,44.718750,44.750000,25.924379,157000
1993-04-20,44.687500,44.750000,44.250000,44.531250,25.797642,279500
1993-04-21,44.625000,44.625000,44.375000,44.500000,25.779533,67900
1993-04-22,44.312500,44.687500,43.937500,43.937500,25.453674,97700
1993-04-23,43.843750,43.968750,43.687500,43.750000,25.345053,106000
1993-04-26,43.781250,43.937500,43.281250,43.406250,25.145920,62600
1993-04-27,43.343750,43.875000,43.343750,43.875000,25.417467,156800
